species	taxon_id
GCA_900313485	133925
GCA_900319515	186802
GCA_900315345	909929
GCA_900321755	186802
GCA_900314855	909929
GCA_900313615	171552
GCA_900314745	186802
GCA_900318255	171552
GCA_900316395	186803
GCA_900316485	186802
GCA_900320955	2172
GCA_900318275	171549
GCA_900316995	171549
GCA_900314825	31977
GCA_900313575	1239
GCA_900317605	186802
GCA_900317785	171549
GCA_900316215	838
GCA_900321015	1263
GCA_900316235	171549
GCA_900314215	171552
GCA_900318525	171549
GCA_900319485	171549
GCA_900317135	186802
GCA_900319765	186802
GCA_900320085	186802
GCA_900316245	171549
GCA_900321865	74152
GCA_900317465	171552
GCA_900315145	2
GCA_900316585	171552
GCA_900318655	2021
GCA_900321535	128827
GCA_900315695	838
GCA_900319395	171552
GCA_900316635	2172
GCA_900317165	128827
GCA_900321365	186802
GCA_900313985	171552
GCA_900314515	1263
GCA_900320725	171549
GCA_900315655	2172
GCA_900319525	171552
GCA_900314695	2172
GCA_900317225	186802
GCA_900318865	171552
GCA_900313745	186803
GCA_900314895	128827
GCA_900313125	186802
GCA_900319645	171549
GCA_900317915	186803
GCA_900318825	1263
GCA_900313515	2
GCA_900313925	186802
GCA_900320485	186803
GCA_900319165	838
GCA_900317515	186802
GCA_900321415	2
GCA_900317945	2
GCA_900317745	171549
GCA_900320205	186803
GCA_900313175	133925
GCA_900315855	186802
GCA_900313505	186802
GCA_900315595	186802
GCA_900316285	171552
GCA_900315455	171552
GCA_900319745	186802
GCA_900317525	186802
GCA_900316325	1730
GCA_900318075	1239
GCA_900319505	128827
GCA_900315215	2172
GCA_900313865	186802
GCA_900320425	186802
GCA_900318795	171552
GCA_900314455	838
GCA_900316435	186802
GCA_900321125	256845
GCA_900320635	186803
GCA_900318195	2
GCA_900320925	186802
GCA_900320675	2
GCA_900313295	186802
GCA_900321225	186802
GCA_900316125	171549
GCA_900321725	171552
GCA_900318475	171552
GCA_900320415	186802
GCA_900317445	186802
GCA_900321595	186802
GCA_900319055	186802
GCA_900317155	171549
GCA_900315085	186802
GCA_900316915	186802
GCA_900321185	186802
GCA_900317205	186802
GCA_900320895	186802
GCA_900313795	2
