compounds	producers_nb
M_DIHYDROXYNAPHTHOATE_c	223
M_CPD__45__16015_c	1391
M_PHE_c	1520
M_CHORISMATE_c	1228
M_CPD__45__316_c	745
M_CPD0__45__2340_c	1
M_FE__43__3_c	1520
M_HISTAMINE_c	128
M_THF_c	1520
M_AMINO__45__ACETONE_c	561
M_OXALATE_c	9
M_4__45__hydroxybenzoate_c	24
M_2K__45__4CH3__45__PENTANOATE_c	504
M_L__45__DI__45__GMP_c	30
M_CPD__45__8999_c	15
M_2__45__ACETO__45__LACTATE_c	1362
M_CPD0__45__2468_c	10
M_CPD__45__665_c	3
M_O__45__SUCCINYL__45__L__45__HOMOSERINE_c	138
M_CPD__45__9925_c	223
M_1__45__AMINO__45__PROPAN__45__2__45__ONE__45__3__45__PHOSPHATE_c	1181
M_CIT_c	707
M_L__45__GLUTAMATE_GAMMA__45__SEMIALDEHYDE_c	1470
M_MG__43__2_c	1520
M_PANTOTHENATE_c	1520
M_CPD__45__9994_c	4
M_CPD__45__372_c	29
M_CPD__45__444_c	45
M_CARBON__45__DIOXIDE_c	1515
M_L__45__CYSTATHIONINE_c	141
M_OXAMATE_c	9
M_CPD0__45__889_c	6
M_6__45__PYRUVOYL__45__5678__45__TETRAHYDROPTERIN_c	9
M_CPD__45__564_c	31
M_CYTIDINE_c	500
M_CA__43__2_e	554
M_DUTP_c	483
M_OROTATE_c	799
M_P__45__RIBOSYL__45__4__45__SUCCCARB__45__AMINOIMIDAZOLE_c	204
M_GAMMA__45__GLUTAMYL__45__GAMMA__45__AMINOBUTYRALDEH_c	18
M_METHACRYLYL__45__COA_c	8
M_CPD__45__15972_c	1520
M_CPD__45__12763_c	19
M_CPD__45__7100_c	382
M_N2__45__SUCCINYLGLUTAMATE_c	95
M_2__45__C__45__METHYL__45__D__45__ERYTHRITOL__45__4__45__PHOSPHATE_c	1391
M_MN__43__2_c	1520
M_S__45__CITRAMALATE_c	27
M_P3I_c	773
M_ISOBUTANOL_c	1
M_3__45__KETO__45__ADIPATE_c	3
M_CPD__45__8050_c	28
M_2__45__KETO__45__3__45__DEOXY__45__6__45__P__45__GLUCONATE_c	77
M_CPD__45__334_c	117
M_BUTANEDIOL_c	1
M_GALACTOSE__45__1P_c	24
M_NICOTINAMIDE_RIBOSE_c	726
M_NA__43___c	1520
M_2__45__O__45__ALPHA__45__MANNOSYL__45__D__45__GLYCERATE_c	21
M_CPD__45__68_c	17
M_2__45__D__45__THREO__45__HYDROXY__45__3__45__CARBOXY__45__ISOCAPROATE_c	382
M_5__45__AMINOPENTANOATE_c	19
M_METHYL__45__GLYOXAL_c	1022
M_SER_c	1520
M_DEOXY__45__D__45__RIBOSE__45__1__45__PHOSPHATE_c	656
M_ALLANTOATE_c	9
M_D__45__RIBULOSE__45__1__45__P_c	92
M_SUCROSE_c	1520
M_O__45__SUCCINYLBENZOATE_c	315
M_L__45__ASPARTATE_c	1520
M_CPD__45__1133_c	28
M_CPD__45__645_c	28
M_CPD0__45__2339_c	1
M_3S__45__CITRYL__45__COA_c	20
M_3__45__HYDROXY__45__3__45__METHYL__45__GLUTARYL__45__COA_c	6
M_L__45__ORNITHINE_c	1513
M_1__45__AMINO__45__PROPAN__45__2__45__OL_c	19
M_MET_c	1520
M_HCO3_c	844
M_INOSINE_c	901
M_CPD__45__14133_c	1515
M_INDOLE_ACETATE_AUXIN_c	34
M_CPD__45__13462_c	50
M_GAP_c	1475
M_CPD__45__11555_c	2
M_CPD0__45__2015_c	56
M_Glutamates_c	19
M_PHOSPHORIBOSYL__45__AMP_c	1243
M_FADH2_c	8
M_4__45__GUANIDO__45__BUTYRAMIDE_c	1
M_N__45__5__45__PHOSPHORIBOSYL__45__ANTHRANILATE_c	988
M_CPD__45__10776_c	31
M_CPD__45__21428_c	1
M_L__45__GLUTAMATE__45__5__45__P_c	1416
M_THZ_c	206
M_5__45__METHYLTHIOINOSINE_c	3
M_CYS_c	1520
M_PRPP_c	1317
M_DIHYDROXY__45__ACETONE__45__PHOSPHATE_c	1475
M_PYRIDOXINE__45__5P_c	1377
M_LAUROYLCOA__45__CPD_c	390
M_ISOVALERYL__45__COA_c	146
M_CPD__45__13357_c	1318
M_BIFURCOSE_c	1
M_CPD0__45__2208_c	1520
M_FRUCTOSE__45__16__45__DIPHOSPHATE_c	1474
M_CPD__45__10752_c	79
M_4__45__HYDROXYPHENYLACETATE_c	1
M_CPD__45__9993_c	4
M_CPD__45__18529_c	5
M_AMP_c	1520
M_CPD__45__159_c	21
M_CPD__45__592_c	1
M_CPD__45__479_c	15
M_CPD0__45__2474_c	1515
M_THZ__45__P_c	206
M_CPD__45__15377_c	294
M_RETINAL_c	2
M_3__45__HYDROXY__45__PROPIONATE_c	28
M_ACETALD_c	1114
M_CPD__45__1086_c	693
M_CPD__45__309_c	1
M_CPD__45__85_c	15
M_THIAMINE_c	1520
M_FAD_c	1497
M_MALEATE_c	7
M_THREO__45__DS__45__ISO__45__CITRATE_c	1136
M_4__45__PHOSPHONOOXY__45__THREONINE_c	1181
M_CPD__45__9924_c	364
M_CARBOXYPHENYLAMINO__45__DEOXYRIBULOSE__45__P_c	988
M_DGTP_c	787
M_ENOL__45__PHENYLPYRUVATE_c	379
M_DGMP_c	54
M_CPD__45__195_c	1520
M_BETA__45__D__45__FRUCTOSE_c	1520
M_CPD0__45__1905_c	509
M_CAMP_c	287
M_CPD__45__216_c	20
M_CPD__45__12249_c	28
M_CPD0__45__1065_c	19
M_GLYCEROL__45__3P_c	900
M_D__45__Ribofuranose_c	799
M_D__45__arabinopyranose_c	92
M_WATER_c	1520
M_L__45__RIBULOSE__45__5__45__P_c	883
M_CPD__45__10754_c	79
M_D__45__LACTOYL__45__COA_c	1
M_5__45__METHYLTHIOADENOSINE_c	459
M_TYR_c	1520
M_CPD__45__380_c	7
M_CHOLESTEROL_c	1520
M_OLEOYL__45__COA_c	349
M_CPD__45__2961_c	455
M_GLUCONATE_c	30
M_ETHYLENE__45__CMPD_c	15
M_CPD__45__7737_c	3
M_N2__45__SUCCINYLORNITHINE_c	1
M_ADENOSYL__45__HOMO__45__CYS_c	31
M_PALMITYL__45__COA_c	390
M_ADP_c	1520
M_CMP__45__KDO_c	2
M_4__45__AMINO__45__BUTYRATE_c	467
M_D__45__mannopyranose_c	141
M_L__45__ASPARTATE__45__SEMIALDEHYDE_c	1509
M_CPD__45__568_c	5
M_DIHYDRO__45__NEO__45__PTERIN_c	452
M_HOMOGENTISATE_c	6
M_CPD0__45__2331_c	1
M_CPD__45__365_c	28
M_CPD__45__10755_c	79
M_PHOSPHORIBOSYL__45__ATP_c	1244
M_CPD__45__560_c	390
M_NMNH_c	1077
M_CPD__45__6124_c	43
M_CPD__45__14442_c	1
M_UMP_c	671
M_CPD__45__469_c	119
M_CPD__45__15199_c	5
M_CPD__45__15015_c	400
M_1__45__KESTOTRIOSE_c	1
M_GLY_c	1520
M_FMNH2_c	588
M_KDO__45__8P_c	34
M_CPD0__45__2244_c	1
M_D__45__6__45__P__45__GLUCONO__45__DELTA__45__LACTONE_c	401
M_CPD__45__13851_c	565
M_DIHYDRONEOPTERIN__45__P_c	452
M_4__45__FUMARYL__45__ACETOACETATE_c	6
M_SORBITOL_c	1520
M_CPD__45__9451_c	382
M_CPD__45__11770_c	30
M_BIOTIN_c	1520
M_ENTEROBACTIN_c	30
M_XANTHOSINE__45__5__45__PHOSPHATE_c	893
M_NICOTINATE_NUCLEOTIDE_c	1297
M_LYS_c	1520
M_CPD__45__18118_c	34
M_CPD__45__11855_c	10
M_N__45__ACETYL__45__D__45__GLUCOSAMINE__45__1__45__P_c	321
