sample	expe	category	phylum	occurrence
MH0086	fulltargets_com	KS	Firmicutes	7
MH0086	fulltargets_com	KS	Firmicutes_A	28
MH0086	fulltargets_com	KS	Firmicutes_C	1
MH0086	fulltargets_com	KS	Proteobacteria	1
MH0086	addedvalue_com	AS	Bacteroidota	1
MH0086	addedvalue_com	AS	Cyanobacteria	1
MH0086	addedvalue_com	AS	Firmicutes	1
MH0086	addedvalue_com	AS	Firmicutes_A	4
MH0086	addedvalue_com	AS	Firmicutes_C	1
MH0086	addedvalue_com	ES	Bacteroidota	6
MH0086	addedvalue_com	ES	Firmicutes	2
MH0086	addedvalue_com	ES	Firmicutes_A	13
MH0086	addedvalue_com	ES	Proteobacteria	1
MH0086	addedvalue_com	KS	Bacteroidota	7
MH0086	addedvalue_com	KS	Cyanobacteria	1
MH0086	addedvalue_com	KS	Firmicutes	3
MH0086	addedvalue_com	KS	Firmicutes_A	17
MH0086	addedvalue_com	KS	Firmicutes_C	1
MH0086	addedvalue_com	KS	Proteobacteria	1
MH0087	fulltargets_com	AS	Bacteroidota	2
MH0087	fulltargets_com	AS	Firmicutes	2
MH0087	fulltargets_com	AS	Firmicutes_A	2
MH0087	fulltargets_com	ES	Bacteroidota	12
MH0087	fulltargets_com	ES	Firmicutes	1
MH0087	fulltargets_com	ES	Firmicutes_A	6
MH0087	fulltargets_com	ES	Firmicutes_C	2
MH0087	fulltargets_com	ES	Verrucomicrobiota	1
MH0087	fulltargets_com	KS	Bacteroidota	14
MH0087	fulltargets_com	KS	Firmicutes	3
MH0087	fulltargets_com	KS	Firmicutes_A	8
MH0087	fulltargets_com	KS	Firmicutes_C	2
MH0087	fulltargets_com	KS	Verrucomicrobiota	1
MH0087	addedvalue_com	AS	Bacteroidota	3
MH0087	addedvalue_com	AS	Firmicutes	1
MH0087	addedvalue_com	AS	Firmicutes_A	1
MH0087	addedvalue_com	AS	Verrucomicrobiota	1
MH0087	addedvalue_com	ES	Bacteroidota	11
MH0087	addedvalue_com	ES	Firmicutes	1
MH0087	addedvalue_com	ES	Firmicutes_A	6
MH0087	addedvalue_com	ES	Firmicutes_C	2
MH0087	addedvalue_com	KS	Bacteroidota	14
MH0087	addedvalue_com	KS	Firmicutes	2
MH0087	addedvalue_com	KS	Firmicutes_A	7
MH0087	addedvalue_com	KS	Firmicutes_C	2
MH0087	addedvalue_com	KS	Verrucomicrobiota	1
MH0088	fulltargets_com	AS	Bacteroidota	5
MH0088	fulltargets_com	AS	Firmicutes	1
MH0088	fulltargets_com	AS	Firmicutes_A	6
MH0088	fulltargets_com	ES	Bacteroidota	10
MH0088	fulltargets_com	ES	Firmicutes_A	19
MH0088	fulltargets_com	ES	Firmicutes_C	1
MH0088	fulltargets_com	KS	Bacteroidota	15
MH0088	fulltargets_com	KS	Firmicutes	1
MH0088	fulltargets_com	KS	Firmicutes_A	25
MH0088	fulltargets_com	KS	Firmicutes_C	1
MH0088	addedvalue_com	AS	Bacteroidota	6
MH0088	addedvalue_com	AS	Firmicutes	2
MH0088	addedvalue_com	AS	Firmicutes_A	10
MH0088	addedvalue_com	ES	Bacteroidota	9
MH0088	addedvalue_com	ES	Firmicutes_A	11
MH0088	addedvalue_com	ES	Firmicutes_C	1
MH0088	addedvalue_com	KS	Bacteroidota	15
MH0088	addedvalue_com	KS	Firmicutes	2
MH0088	addedvalue_com	KS	Firmicutes_A	21
MH0088	addedvalue_com	KS	Firmicutes_C	1
MH0096	fulltargets_com	AS	Bacteroidota	1
MH0096	fulltargets_com	AS	Firmicutes	1
MH0096	fulltargets_com	AS	Firmicutes_A	4
MH0096	fulltargets_com	ES	Bacteroidota	4
MH0096	fulltargets_com	ES	Firmicutes	7
MH0096	fulltargets_com	ES	Firmicutes_A	17
MH0096	fulltargets_com	ES	Firmicutes_C	2
MH0096	fulltargets_com	ES	Spirochaetota	1
MH0096	fulltargets_com	KS	Bacteroidota	5
MH0096	fulltargets_com	KS	Firmicutes	8
MH0096	fulltargets_com	KS	Firmicutes_A	21
MH0096	fulltargets_com	KS	Firmicutes_C	2
MH0096	fulltargets_com	KS	Spirochaetota	1
MH0096	addedvalue_com	AS	Bacteroidota	3
MH0096	addedvalue_com	AS	Firmicutes	3
MH0096	addedvalue_com	AS	Firmicutes_A	5
MH0096	addedvalue_com	AS	Spirochaetota	1
MH0096	addedvalue_com	ES	Bacteroidota	2
MH0096	addedvalue_com	ES	Firmicutes	5
MH0096	addedvalue_com	ES	Firmicutes_A	13
MH0096	addedvalue_com	ES	Firmicutes_C	1
MH0096	addedvalue_com	KS	Bacteroidota	5
MH0096	addedvalue_com	KS	Firmicutes	8
MH0096	addedvalue_com	KS	Firmicutes_A	18
MH0096	addedvalue_com	KS	Firmicutes_C	1
MH0096	addedvalue_com	KS	Spirochaetota	1
MH0101	fulltargets_com	AS	Bacteroidota	1
MH0101	fulltargets_com	AS	Firmicutes	1
MH0101	fulltargets_com	AS	Firmicutes_A	2
MH0101	fulltargets_com	ES	Bacteroidota	8
MH0101	fulltargets_com	ES	Firmicutes	3
MH0101	fulltargets_com	ES	Firmicutes_A	16
MH0101	fulltargets_com	KS	Bacteroidota	9
MH0101	fulltargets_com	KS	Firmicutes	4
MH0101	fulltargets_com	KS	Firmicutes_A	18
MH0101	addedvalue_com	AS	Bacteroidota	7
MH0101	addedvalue_com	AS	Firmicutes	2
